,,,,,,,,,,,,,,,,,,,,,,
,,,,ESTACIÓN,,VALPARAÍSO,,,,,MES / AÑO,,ENERO 2013,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,Dia,03:00 UTC,,06:00 UTC,,09:00 UTC,,12:00 UTC,,15:00 UTC,,18:00 UTC,,21:00 UTC,,24:00 UTC,,,MAX.,,,MED.
,,Dir.,Int.,Dir.,Int.,Dir.,Int.,Dir.,Int.,Dir.,Int.,Dir.,Int.,Dir.,Int.,Dir.,Int.,,Dir.,Int.,,Int.
,1,240,08,000,00,000,00,060,08,070,02,350,05,000,00,230,06,,240,08,,04
,2,000,00,240,04,260,02,250,04,270,06,270,08,240,10,240,11,,240,11,,05
,3,000,00,000,00,010,02,070,02,050,03,000,00,270,04,260,05,,260,05,,02
,4,260,06,000,00,000,00,000,00,240,10,250,10,240,13,240,08,,240,13,,07
,5,060,04,000,00,070,02,000,00,280,08,240,18,240,18,210,10,,240,18,,06
,6,180,05,000,00,220,04,180,06,230,04,240,13,260,07,230,12,,240,13,,06
,7,000,00,240,08,000,00,060,04,240,03,240,20,240,24,240,06,,240,24,,05
,8,240,08,220,07,240,08,000,00,260,05,240,13,240,20,190,08,,240,20,,08
,9,070,03,000,00,090,03,050,06,010,05,250,15,000,00,000,00,,250,15,,03
,10,090,08,080,04,030,07,080,10,020,12,360,10,360,02,270,04,,020,12,,08
,11,270,03,000,00,000,00,000,00,270,03,240,08,230,10,230,13,,230,13,,03
,12,000,00,070,08,020,05,050,06,050,05,030,08,010,02,240,04,,070,08,,05
,13,270,03,000,00,240,04,240,03,000,00,260,06,240,10,240,10,,240,10,,04
,14,240,03,190,03,240,06,240,05,270,03,250,10,240,12,240,12,,240,12,,06
,15,000,00,120,06,000,00,340,03,350,06,260,08,240,10,230,11,,230,11,,06
,16,000,00,160,03,000,00,000,00,260,05,280,04,240,14,240,12,,240,14,,04
,17,000,00,240,03,240,04,040,03,030,03,290,03,240,12,230,12,,240,12,,03
,18,240,04,080,06,240,03,240,05,230,10,240,07,240,11,230,08,,240,11,,07
,19,100,07,040,03,260,05,000,00,000,00,270,06,240,05,240,08,,240,08,,05
,20,240,06,120,02,260,02,310,03,270,02,270,06,250,10,250,05,,250,10,,04
,21,250,07,240,04,240,03,240,02,240,07,240,10,240,10,210,10,,240,10,,07
,22,240,04,220,08,210,06,210,03,240,06,260,02,240,12,240,12,,240,12,,06
,23,250,11,240,06,230,07,230,05,030,04,330,02,300,05,250,05,,250,11,,05
,24,240,07,220,05,240,02,000,00,090,02,350,03,360,03,220,07,,240,07,,03
,25,100,03,190,06,040,02,000,00,270,03,260,06,250,09,250,10,,250,10,,05
,26,180,03,230,05,270,02,060,02,270,02,270,04,270,08,240,10,,240,10,,04
,27,230,03,070,03,090,04,240,06,360,03,270,04,240,15,240,12,,240,15,,04
,28,270,02,240,06,200,04,240,02,260,06,240,10,250,18,240,13,,250,18,,06
,29,000,00,000,02,000,00,000,00,240,06,240,15,240,17,250,12,,240,17,,04
,30,090,04,180,03,000,00,180,03,350,03,270,08,260,12,240,13,,240,13,,04
,31,000,00,000,00,140,03,110,04,080,02,360,02,250,04,240,10,,240,10,,03
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,PROMEDIOS MENSUALES,,,,,12,,05
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,MÁXIMA INTENSIDAD MENSUAL,,,,,24,,
