,,,,,,,,,,,,,,,,,,,,,,
,,,,ESTACIÓN,,VALPARAÍSO,,,,,MES / AÑO,,MAYO 2013,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,Dia,03:00 UTC,,06:00 UTC,,09:00 UTC,,12:00 UTC,,15:00 UTC,,18:00 UTC,,21:00 UTC,,24:00 UTC,,,MAX.,,,MED.
,,Dir.,Int.,Dir.,Int.,Dir.,Int.,Dir.,Int.,Dir.,Int.,Dir.,Int.,Dir.,Int.,Dir.,Int.,,Dir.,Int.,,Int.
,1,130,08,110,06,120,08,110,10,080,03,060,03,280,03,000,00,,110,10,,05
,2,130,06,120,06,160,08,100,06,090,06,100,11,080,11,020,20,,020,20,,07
,3,020,09,360,16,010,14,030,03,000,00,240,07,230,13,090,05,,360,16,,08
,4,190,03,000,00,320,02,100,03,270,05,240,15,240,18,000,00,,240,18,,03
,5,180,03,240,03,130,03,300,02,270,02,240,10,250,10,240,14,,240,14,,03
,6,240,10,160,07,000,00,090,04,000,00,230,13,240,14,190,03,,240,14,,06
,7,150,06,000,00,100,06,010,05,130,08,120,03,030,05,030,05,,130,08,,05
,8,020,02,100,02,250,03,110,03,340,03,270,06,260,02,000,00,,270,06,,03
,9,150,05,240,04,120,05,090,05,070,12,050,07,030,08,060,08,,070,12,,06
,10,060,12,050,12,040,10,050,07,030,03,330,06,240,08,180,04,,060,12,,08
,11,240,03,220,02,040,04,100,07,100,04,240,03,240,10,190,06,,240,10,,04
,12,000,00,000,00,080,04,000,00,240,06,240,04,240,08,220,10,,220,10,,04
,13,240,05,090,04,000,00,000,00,240,10,240,10,230,12,200,06,,230,12,,06
,14,000,00,210,08,130,03,240,04,270,03,240,15,240,22,230,10,,240,22,,06
,15,240,02,240,06,000,00,000,00,230,06,220,11,240,20,090,03,,240,20,,05
,16,100,02,000,00,130,05,100,07,060,05,040,04,270,03,240,03,,100,07,,04
,17,000,00,000,00,000,00,090,05,000,00,260,06,300,03,120,10,,120,10,,02
,18,130,10,270,06,090,06,040,03,080,10,080,06,100,08,120,05,,130,10,,06
,19,100,06,160,08,150,02,100,06,270,03,000,00,230,10,000,00,,230,10,,05
,20,000,00,080,02,090,03,000,00,000,00,000,00,100,06,150,04,,100,06,,01
,21,000,00,000,00,130,05,130,05,030,04,100,05,140,04,140,02,,130,05,,04
,22,050,02,000,00,000,00,120,02,000,00,160,06,240,10,000,00,,240,10,,01
,23,000,00,000,00,000,00,030,03,030,03,090,03,000,00,080,06,,080,06,,02
,24,000,00,080,02,150,02,000,00,030,04,060,03,070,08,130,07,,070,08,,03
,25,070,08,090,07,090,06,120,10,100,06,050,02,000,00,090,04,,120,10,,06
,26,140,05,000,00,270,03,140,05,030,07,080,05,300,04,120,02,,030,07,,05
,27,090,05,010,10,050,10,060,10,030,13,050,12,040,14,030,28,,030,28,,11
,28,020,17,010,26,350,25,330,22,330,20,350,22,330,20,090,06,,010,26,,21
,29,140,06,160,07,000,00,100,05,030,02,240,08,240,08,030,04,,240,08,,06
,30,000,00,000,00,290,02,240,09,310,03,120,03,230,08,160,05,,240,09,,03
,31,340,05,030,12,360,15,360,15,120,10,040,12,020,13,000,00,,360,15,,12
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,PROMEDIOS MENSUALES,,,,,12,,05
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,MÁXIMA INTENSIDAD MENSUAL,,,,,28,,
