,,,,,,,,,,,,,,,,,,,,,,
,,,,ESTACIÓN,,VALPARAÍSO,,,,,MES / AÑO,,ENERO 2014,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,Dia,03:00 UTC,,06:00 UTC,,09:00 UTC,,12:00 UTC,,15:00 UTC,,18:00 UTC,,21:00 UTC,,24:00 UTC,,,MAX.,,,MED.
,,Dir.,Int.,Dir.,Int.,Dir.,Int.,Dir.,Int.,Dir.,Int.,Dir.,Int.,Dir.,Int.,Dir.,Int.,,Dir.,Int.,,Int.
,1,240,06,260,03,000,00,000,00,240,08,240,22,240,21,240,05,,240,22,,06
,2,040,05,200,06,000,00,000,00,240,15,240,25,240,17,240,14,,240,25,,10
,3,000,00,070,02,000,00,000,00,240,10,240,18,240,22,240,24,,240,24,,06
,4,300,04,000,00,050,05,120,06,090,09,080,06,030,05,040,04,,090,09,,05
,5,000,00,090,06,070,06,040,11,020,08,320,03,250,08,240,08,,040,11,,07
,6,000,00,130,03,020,04,040,08,360,04,250,08,240,08,120,05,,040,08,,05
,7,000,00,020,02,000,00,000,00,000,00,050,05,200,06,090,03,,200,06,,01
,8,040,03,120,03,120,06,030,10,040,12,040,08,050,03,240,03,,040,12,,05
,9,120,06,000,00,000,00,220,03,240,15,240,14,240,09,240,09,,240,15,,08
,10,010,05,040,04,000,00,040,07,000,00,240,15,240,15,240,07,,240,15,,06
,11,000,00,120,02,000,00,000,00,030,05,350,03,270,07,240,08,,240,08,,03
,12,000,00,000,00,040,02,050,04,020,05,270,04,240,04,240,03,,020,05,,04
,13,220,07,000,00,000,00,210,03,140,02,140,06,140,07,130,10,,130,10,,05
,14,150,03,070,03,050,03,040,07,010,06,180,10,160,15,090,05,,160,15,,06
,15,050,03,060,06,040,10,040,12,050,15,040,06,060,06,090,03,,050,15,,06
,16,050,05,010,03,070,08,080,06,040,06,320,03,270,08,240,09,,240,09,,06
,17,240,03,110,04,150,02,090,05,280,03,250,11,230,14,240,06,,230,14,,05
,18,140,02,000,00,000,00,000,00,240,05,240,13,220,15,000,00,,220,15,,01
,19,000,00,240,03,160,05,000,00,220,18,230,20,240,17,230,12,,230,20,,09
,20,000,00,000,00,080,05,360,02,240,12,240,10,240,16,230,10,,240,16,,08
,21,010,03,110,05,270,02,000,00,240,13,240,17,240,20,240,10,,240,20,,08
,22,000,00,000,00,250,05,040,06,260,08,240,18,240,18,240,13,,240,18,,07
,23,140,03,050,03,350,03,000,00,240,11,250,10,240,15,240,15,,240,15,,07
,24,220,05,230,04,240,08,290,02,230,12,230,14,230,16,220,10,,230,16,,09
,25,290,02,000,00,150,03,060,03,250,06,240,15,240,18,240,10,,240,18,,05
,26,090,04,040,02,080,02,050,07,350,03,240,12,240,08,240,11,,240,12,,06
,27,240,09,000,00,090,05,100,06,350,02,250,11,240,14,240,09,,240,14,,08
,28,010,02,000,00,000,00,350,03,240,16,240,24,250,25,050,05,,250,25,,04
,29,090,02,000,00,130,07,050,04,070,03,280,06,200,13,090,11,,200,13,,05
,30,150,08,070,05,060,08,050,07,040,06,140,04,260,10,040,05,,260,10,,07
,31,140,04,160,03,170,03,100,04,240,04,250,15,230,12,200,06,,250,15,,04
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,PROMEDIOS MENSUALES,,,,,15,,06
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,MÁXIMA INTENSIDAD MENSUAL,,,,,25,,
